case_id,country_id,state_id,report_date,report_time,confirmed,deaths,recovered,new_confirmed,new_deaths,active_cases
1,1,1,2020-03-26,18:00:00,1,0,0,1,0,1
2,1,1,2020-03-27,10:00:00,1,0,0,0,0,1
3,1,1,2020-03-28,18:00:00,6,0,0,5,0,6
4,1,1,2020-03-29,19:30:00,9,0,0,3,0,9
5,1,1,2020-03-30,21:30:00,9,0,0,0,0,9
6,1,1,2020-03-31,20:30:00,10,0,0,1,0,10
7,1,1,2020-04-01,19:30:00,10,0,0,0,0,10
8,1,1,2020-04-02,18:00:00,10,0,0,0,0,10
9,1,1,2020-04-03,18:00:00,10,0,0,0,0,10
10,1,1,2020-04-04,18:00:00,10,0,0,0,0,10
11,1,1,2020-04-05,18:00:00,10,0,0,0,0,10
12,1,1,2020-04-06,18:00:00,10,0,0,0,0,10
13,1,1,2020-04-07,18:00:00,10,0,0,0,0,10
14,1,1,2020-04-08,17:00:00,10,0,0,0,0,10
15,1,1,2020-04-09,17:00:00,11,0,0,1,0,11
16,1,1,2020-04-10,17:00:00,11,0,0,0,0,11
17,1,1,2020-04-11,17:00:00,11,0,0,0,0,11
18,1,1,2020-04-12,17:00:00,11,0,10,0,0,1
19,1,1,2020-04-13,17:00:00,11,0,10,0,0,1
20,1,1,2020-04-14,17:00:00,11,0,10,0,0,1
21,1,1,2020-04-15,17:00:00,11,0,10,0,0,1
22,1,1,2020-04-16,17:00:00,11,0,10,0,0,1
23,1,1,2020-04-17,17:00:00,11,0,10,0,0,1
24,1,1,2020-04-18,17:00:00,12,0,11,1,0,1
25,1,1,2020-04-19,17:00:00,14,0,11,2,0,3
26,1,1,2020-04-20,17:00:00,15,0,11,1,0,4
27,1,1,2020-04-21,17:00:00,16,0,11,1,0,5
28,1,1,2020-04-22,17:00:00,17,0,11,1,0,6
29,1,1,2020-04-23,17:00:00,18,0,11,1,0,7
30,1,1,2020-04-24,17:00:00,22,0,11,4,0,11
31,1,1,2020-04-25,17:00:00,27,0,11,5,0,16
32,1,1,2020-04-26,17:00:00,33,0,11,6,0,22
33,1,1,2020-04-27,17:00:00,33,0,11,0,0,22
34,1,1,2020-04-28,17:00:00,33,0,11,0,0,22
35,1,1,2020-04-29,17:00:00,33,0,15,0,0,18
36,1,1,2020-04-30,17:00:00,33,0,15,0,0,18
37,1,1,2020-05-01,17:00:00,33,0,16,0,0,17
38,1,1,2020-05-02,17:00:00,33,0,16,0,0,17
39,1,1,2020-05-03,17:00:00,33,0,17,0,0,16
40,1,1,2020-05-04,17:00:00,33,0,32,0,0,1
41,1,1,2020-05-05,17:00:00,33,0,32,0,0,1
42,1,1,2020-05-06,08:00:00,33,0,32,0,0,1
43,1,1,2020-05-07,08:00:00,33,0,32,0,0,1
44,1,1,2020-05-08,08:00:00,33,0,33,0,0,0
45,1,1,2020-05-09,08:00:00,33,0,33,0,0,0
46,1,1,2020-05-10,08:00:00,33,0,33,0,0,0
47,1,1,2020-05-11,08:00:00,33,0,33,0,0,0
48,1,1,2020-05-12,08:00:00,33,0,33,0,0,0
49,1,1,2020-05-13,08:00:00,33,0,33,0,0,0
50,1,1,2020-05-14,08:00:00,33,0,33,0,0,0
51,1,1,2020-05-15,08:00:00,33,0,33,0,0,0
52,1,1,2020-05-16,08:00:00,33,0,33,0,0,0
53,1,1,2020-05-17,08:00:00,33,0,33,0,0,0
54,1,1,2020-05-18,08:00:00,33,0,33,0,0,0
55,1,1,2020-05-19,08:00:00,33,0,33,0,0,0
56,1,1,2020-05-20,08:00:00,33,0,33,0,0,0
57,1,1,2020-05-21,08:00:00,33,0,33,0,0,0
58,1,1,2020-05-22,08:00:00,33,0,33,0,0,0
59,1,1,2020-05-23,08:00:00,33,0,33,0,0,0
60,1,1,2020-05-24,08:00:00,33,0,33,0,0,0
61,1,1,2020-05-25,08:00:00,33,0,33,0,0,0
62,1,1,2020-05-26,08:00:00,33,0,33,0,0,0
63,1,1,2020-05-27,08:00:00,33,0,33,0,0,0
64,1,1,2020-05-28,08:00:00,33,0,33,0,0,0
65,1,1,2020-05-29,08:00:00,33,0,33,0,0,0
66,1,1,2020-05-30,08:00:00,33,0,33,0,0,0
67,1,1,2020-05-31,08:00:00,33,0,33,0,0,0
68,1,1,2020-06-01,08:00:00,33,0,33,0,0,0
69,1,1,2020-06-02,08:00:00,33,0,33,0,0,0
70,1,1,2020-06-03,08:00:00,33,0,33,0,0,0
71,1,1,2020-06-04,08:00:00,33,0,33,0,0,0
72,1,1,2020-06-05,08:00:00,33,0,33,0,0,0
73,1,1,2020-06-06,08:00:00,33,0,33,0,0,0
74,1,1,2020-06-07,08:00:00,33,0,33,0,0,0
75,1,1,2020-06-08,08:00:00,33,0,33,0,0,0
76,1,1,2020-06-09,08:00:00,33,0,33,0,0,0
77,1,1,2020-06-10,08:00:00,33,0,33,0,0,0
78,1,1,2020-06-11,08:00:00,34,0,33,1,0,1
