global_stat_id,country_id,report_date,confirmed,deaths,recovered,new_confirmed,new_deaths,active_cases,people_vaccinated_1dose,people_fully_vaccinated
1,1,2020-06-30,5750018,103500,5405017,5175016,77625,241501,149500475,119600380
2,1,2020-09-30,11500036,207000,10810034,6210019,93150,483002,299000950,239200760
3,1,2020-12-31,17250054,310500,16215051,7245022,108675,724503,448501425,358801140
4,1,2021-03-31,23000072,414000,21620068,5175016,77625,966004,598001900,478401520
5,1,2021-06-30,28750090,517500,27025085,6210019,93150,1207505,747502375,598001900
6,1,2021-09-30,34500109,621001,32430102,7245022,108675,1449006,897002850,717602280
7,2,2020-06-30,1379177,24825,1296427,1241259,18618,57925,35858620,28686896
8,2,2020-09-30,2758355,49650,2592854,1489511,22342,115851,71717241,57373792
9,2,2020-12-31,4137533,74475,3889281,1737763,26066,173777,107575861,86060689
10,2,2021-03-31,5516710,99300,5185708,1241259,18618,231702,143434482,114747585
11,2,2021-06-30,6895888,124125,6482135,1489511,22342,289628,179293102,143434481
12,2,2021-09-30,8275066,148951,7778562,1737763,26066,347553,215151723,172121378
13,3,2020-06-30,885664,15941,832524,797097,11956,37199,23027270,18421816
14,3,2020-09-30,1771328,31883,1665048,956517,14347,74397,46054540,36843632
15,3,2020-12-31,2656992,47825,2497572,1115936,16739,111595,69081810,55265448
16,3,2021-03-31,3542656,63767,3330096,797097,11956,148793,92109080,73687264
17,3,2021-06-30,4428320,79709,4162620,956517,14347,185991,115136350,92109080
18,3,2021-09-30,5313985,95651,4995145,1115936,16739,223189,138163621,110530896
19,4,2020-06-30,282858,5091,265886,254572,3818,11881,7354317,5883454
20,4,2020-09-30,565716,10182,531773,305487,4582,23761,14708635,11766908
21,4,2020-12-31,848575,15274,797660,356401,5346,35641,22062953,17650362
22,4,2021-03-31,1131433,20365,1063547,254572,3818,47521,29417271,23533816
23,4,2021-06-30,1414291,25456,1329434,305487,4582,59401,36771589,29417270
24,4,2021-09-30,1697150,30548,1595321,356401,5346,71281,44125907,35300725
25,5,2020-06-30,608060,10945,571576,547254,8208,25539,15809566,12647653
26,5,2020-09-30,1216120,21890,1143153,656704,9850,51077,31619133,25295306
27,5,2020-12-31,1824180,32835,1714729,766155,11492,76616,47428700,37942960
28,5,2021-03-31,2432240,43780,2286306,547254,8208,102154,63238266,50590613
29,5,2021-06-30,3040300,54725,2857882,656704,9850,127693,79047833,63238266
30,5,2021-09-30,3648361,65670,3429459,766155,11492,153232,94857400,75885920
31,6,2020-06-30,271972,4895,255654,244775,3671,11423,7071297,5657037
32,6,2020-09-30,543945,9791,511308,293730,4405,22846,14142594,11314075
33,6,2020-12-31,815918,14686,766963,342685,5140,34269,21213891,16971112
34,6,2021-03-31,1087891,19582,1022617,244775,3671,45692,28285188,22628150
35,6,2021-06-30,1359864,24477,1278271,293730,4405,57116,35356485,28285187
36,6,2021-09-30,1631837,29373,1533926,342685,5140,68538,42427782,33942225
37,7,2020-06-30,351412,6325,330327,316271,4744,14760,9136732,7309385
38,7,2020-09-30,702825,12650,660655,379525,5692,29520,18273464,14618771
39,7,2020-12-31,1054238,18976,990983,442779,6641,44279,27410196,21928157
40,7,2021-03-31,1405650,25301,1321311,316271,4744,59038,36546928,29237542
41,7,2021-06-30,1757063,31626,1651639,379525,5692,73798,45683660,36546928
42,7,2021-09-30,2108476,37952,1981967,442779,6641,88557,54820393,43856314
43,8,2020-06-30,188315,3389,177016,169484,2542,7910,4896208,3916967
44,8,2020-09-30,376631,6779,354033,203380,3050,15819,9792417,7833934
45,8,2020-12-31,564947,10169,531050,237277,3559,23728,14688626,11750901
46,8,2021-03-31,753262,13558,708066,169484,2542,31638,19584835,15667868
47,8,2021-06-30,941578,16948,885083,203380,3050,39547,24481044,19584835
48,8,2021-09-30,1129894,20338,1062100,237277,3559,47456,29377253,23501802
49,9,2020-06-30,212012,3816,199291,190810,2862,8905,5512313,4409850
50,9,2020-09-30,424024,7632,398582,228972,3434,17810,11024626,8819701
51,9,2020-12-31,636036,11448,597873,267135,4007,26715,16536939,13229551
52,9,2021-03-31,848048,15264,797164,190810,2862,35620,22049252,17639402
53,9,2021-06-30,1060060,19080,996455,228972,3434,44525,27561565,22049252
54,9,2021-09-30,1272072,22897,1195747,267135,4007,53428,33073879,26459103
55,10,2020-06-30,251924,4534,236808,226731,3400,10582,6550031,5240024
56,10,2020-09-30,503848,9069,473617,272078,4081,21162,13100062,10480049
57,10,2020-12-31,755772,13603,710426,317424,4761,31743,19650093,15720074
58,10,2021-03-31,1007696,18138,947234,226731,3400,42324,26200124,20960099
59,10,2021-06-30,1259620,22672,1184043,272078,4081,52905,32750155,26200124
60,10,2021-09-30,1511545,27207,1420852,317424,4761,63486,39300186,31440149
61,11,2020-06-30,194811,3506,183122,175330,2629,8183,5065100,4052080
62,11,2020-09-30,389623,7013,366245,210396,3155,16365,10130201,8104161
63,11,2020-12-31,584434,10519,549368,245462,3681,24547,15195302,12156242
64,11,2021-03-31,779246,14026,732490,175330,2629,32730,20260403,16208322
65,11,2021-06-30,974057,17532,915613,210396,3155,40912,25325504,20260403
66,11,2021-09-30,1168869,21039,1098736,245462,3681,49094,30390605,24312484
67,12,2020-06-30,349099,6283,328153,314189,4712,14663,9076593,7261274
68,12,2020-09-30,698199,12567,656307,377027,5655,29325,18153187,14522549
69,12,2020-12-31,1047299,18851,984461,439865,6597,43987,27229781,21783824
70,12,2021-03-31,1396398,25134,1312614,314189,4712,58650,36306374,29045099
71,12,2021-06-30,1745498,31418,1640768,377027,5655,73312,45382968,36306374
72,12,2021-09-30,2094598,37702,1968922,439865,6597,87974,54459562,43567649
73,13,2020-06-30,247119,4448,232292,222407,3336,10379,6425108,5140086
74,13,2020-09-30,494239,8896,464584,266889,4003,20759,12850216,10280172
75,13,2020-12-31,741358,13344,696876,311370,4670,31138,19275324,15420259
76,13,2021-03-31,988478,17792,929168,222407,3336,41518,25700432,20560345
77,13,2021-06-30,1235597,22240,1161460,266889,4003,51897,32125540,25700431
78,13,2021-09-30,1482717,26688,1393753,311370,4670,62276,38550648,30840518
79,14,2020-06-30,537219,9669,504986,483497,7252,22564,13967714,11174171
80,14,2020-09-30,1074439,19339,1009972,580197,8702,45128,27935429,22348343
81,14,2020-12-31,1611659,29009,1514959,676896,10153,67691,41903144,33522515
82,14,2021-03-31,2148878,38679,2019945,483497,7252,90254,55870859,44696687
83,14,2021-06-30,2686098,48349,2524931,580197,8702,112818,69838574,55870859
84,14,2021-09-30,3223318,58019,3029918,676896,10153,135381,83806289,67045031
85,15,2020-06-30,1139681,20514,1071300,1025713,15385,47867,29631724,23705379
86,15,2020-09-30,2279363,41028,2142601,1230856,18462,95734,59263449,47410759
87,15,2020-12-31,3419045,61542,3213902,1435998,21539,143601,88895174,71116139
88,15,2021-03-31,4558726,82056,4285202,1025713,15385,191468,118526899,94821519
89,15,2021-06-30,5698408,102570,5356503,1230856,18462,239335,148158624,118526899
90,15,2021-09-30,6838090,123085,6427804,1435998,21539,287201,177790349,142232279
91,16,2020-06-30,106249,1912,99874,95624,1434,4463,2762487,2209989
92,16,2020-09-30,212499,3824,199749,114749,1721,8926,5524974,4419979
93,16,2020-12-31,318748,5737,299623,133874,2008,13388,8287462,6629969
94,16,2021-03-31,424998,7649,399498,95624,1434,17851,11049949,8839959
95,16,2021-06-30,531247,9561,499372,114749,1721,22314,13812436,11049949
96,16,2021-09-30,637497,11474,599247,133874,2008,26776,16574924,13259939
97,17,2020-06-30,157258,2830,147823,141532,2122,6605,4088733,3270986
98,17,2020-09-30,314517,5661,295646,169839,2547,13210,8177466,6541973
99,17,2020-12-31,471776,8491,443469,198146,2972,19816,12266200,9812960
100,17,2021-03-31,629035,11322,591292,141532,2122,26421,16354933,13083946
101,17,2021-06-30,786294,14152,739115,169839,2547,33027,20443666,16354933
102,17,2021-09-30,943553,16983,886939,198146,2972,39631,24532400,19625920
103,18,2020-06-30,526985,9485,495366,474286,7114,22134,13701616,10961293
104,18,2020-09-30,1053970,18971,990732,569143,8537,44267,27403233,21922586
105,18,2020-12-31,1580955,28457,1486098,664001,9960,66400,41104849,32883879
106,18,2021-03-31,2107940,37942,1981464,474286,7114,88534,54806466,43845172
107,18,2021-06-30,2634925,47428,2476830,569143,8537,110667,68508082,54806465
108,18,2021-09-30,3161911,56914,2972196,664001,9960,132801,82209699,65767759
109,19,2020-06-30,858914,15460,807379,773023,11595,36075,22331788,17865431
110,19,2020-09-30,1717829,30920,1614759,927628,13914,72150,44663577,35730862
111,19,2020-12-31,2576744,46381,2422139,1082232,16233,108224,66995366,53596293
112,19,2021-03-31,3435659,61841,3229519,773023,11595,144299,89327154,71461724
113,19,2021-06-30,4294574,77301,4036899,927628,13914,180374,111658943,89327155
114,19,2021-09-30,5153489,92762,4844279,1082232,16233,216448,133990732,107192586
