case_id,country_id,state_id,district_id,report_date,report_time,confirmed,deaths,recovered,new_confirmed,new_deaths,active_cases
1,1,21,1,2020-03-09,18:00:00,0,0,0,0,0,0
2,1,21,1,2020-03-10,18:00:00,1,0,0,0,0,1
3,1,21,1,2020-03-11,18:00:00,0,0,0,0,0,0
4,1,21,1,2020-03-12,18:00:00,2,0,0,1,0,2
5,1,21,1,2020-03-13,18:00:00,3,0,0,0,0,3
6,1,21,1,2020-03-14,18:00:00,3,0,0,0,0,3
7,1,21,1,2020-03-15,18:00:00,7,0,0,3,0,7
8,1,21,1,2020-03-16,18:00:00,7,0,0,0,0,7
9,1,21,1,2020-03-17,18:00:00,8,0,0,1,0,8
10,1,21,1,2020-03-18,18:00:00,9,0,0,0,0,9
11,1,21,1,2020-03-19,18:00:00,10,0,0,1,0,10
12,1,21,1,2020-03-20,18:00:00,11,0,0,1,0,11
13,1,21,1,2020-03-21,18:00:00,13,0,0,2,0,13
14,1,21,1,2020-03-22,18:00:00,14,0,0,0,0,14
15,1,21,1,2020-03-23,18:00:00,16,0,0,1,0,15
16,1,21,1,2020-03-24,18:00:00,19,0,0,3,0,19
17,1,21,1,2020-03-25,18:00:00,28,0,0,8,0,27
18,1,21,1,2020-03-26,18:00:00,27,0,0,0,0,26
19,1,21,1,2020-03-27,10:00:00,28,1,3,1,0,24
20,1,21,1,2020-03-28,18:00:00,39,1,5,11,0,33
21,1,21,1,2020-03-29,19:30:00,40,1,5,1,0,34
22,1,21,1,2020-03-30,21:30:00,43,2,5,2,0,36
23,1,21,1,2020-03-31,20:30:00,47,2,8,3,0,36
24,1,21,1,2020-04-01,19:30:00,66,2,8,18,0,55
25,1,21,1,2020-04-02,18:00:00,73,3,9,7,1,61
26,1,21,1,2020-04-03,18:00:00,73,4,9,0,0,60
27,1,21,1,2020-04-04,18:00:00,107,6,9,34,2,93
28,1,21,1,2020-04-05,18:00:00,107,6,9,0,0,93
29,1,21,1,2020-04-06,18:00:00,164,12,12,56,5,142
30,1,21,1,2020-04-07,18:00:00,190,13,12,26,0,168
31,1,21,1,2020-04-08,17:00:00,223,17,17,33,4,192
32,1,21,1,2020-04-09,17:00:00,249,20,25,25,2,208
33,1,21,1,2020-04-10,17:00:00,300,27,27,50,7,251
34,1,21,1,2020-04-11,17:00:00,346,30,41,46,3,280
35,1,21,1,2020-04-12,17:00:00,387,35,45,41,4,313
36,1,21,1,2020-04-13,17:00:00,436,41,47,49,6,356
37,1,21,1,2020-04-14,17:00:00,514,44,50,77,3,428
38,1,21,1,2020-04-15,17:00:00,591,49,56,77,5,495
39,1,21,1,2020-04-16,17:00:00,642,52,64,51,2,536
40,1,21,1,2020-04-17,17:00:00,705,54,66,62,1,596
41,1,21,1,2020-04-18,17:00:00,731,56,72,25,1,614
42,1,21,1,2020-04-19,17:00:00,803,59,80,72,2,676
43,1,21,1,2020-04-20,17:00:00,924,62,111,121,3,764
44,1,21,1,2020-04-21,17:00:00,1027,64,125,102,2,850
45,1,21,1,2020-04-22,17:00:00,1148,70,158,121,5,934
46,1,21,1,2020-04-23,17:00:00,1243,75,173,94,5,1010
47,1,21,1,2020-04-24,17:00:00,1414,79,184,171,3,1167
48,1,21,1,2020-04-25,17:00:00,1499,84,210,85,5,1222
49,1,21,1,2020-04-26,17:00:00,1678,90,236,178,6,1370
50,1,21,1,2020-04-27,17:00:00,1774,95,261,96,5,1438
51,1,21,1,2020-04-28,17:00:00,1889,103,282,114,7,1526
52,1,21,1,2020-04-29,17:00:00,2049,112,305,160,8,1656
53,1,21,1,2020-04-30,17:00:00,2181,120,350,131,8,1735
54,1,21,1,2020-05-01,17:00:00,2309,128,390,128,7,1818
55,1,21,1,2020-05-02,17:00:00,2531,135,413,221,7,2011
56,1,21,1,2020-05-03,17:00:00,2705,145,440,173,10,2150
57,1,21,1,2020-05-04,17:00:00,2854,153,465,149,7,2268
58,1,21,1,2020-05-05,17:00:00,3199,163,542,344,9,2528
59,1,21,1,2020-05-06,08:00:00,3415,172,620,216,9,2659
60,1,21,1,2020-05-07,08:00:00,3686,182,680,271,9,2862
61,1,21,1,2020-05-08,08:00:00,3954,194,726,267,12,3075
62,1,21,1,2020-05-09,08:00:00,4193,204,763,239,10,3269
63,1,21,1,2020-05-10,08:00:00,4450,218,836,256,13,3442
64,1,21,1,2020-05-11,08:00:00,4877,232,923,427,14,3770
65,1,21,1,2020-05-12,08:00:00,5148,243,1052,270,10,3904
66,1,21,1,2020-05-13,08:00:00,5373,257,1127,225,14,4043
67,1,21,1,2020-05-14,08:00:00,5702,273,1220,328,15,4268
68,1,21,1,2020-05-15,08:00:00,6055,285,1332,352,12,4498
69,1,21,1,2020-05-16,08:00:00,6402,299,1444,346,13,4722
70,1,21,1,2020-05-17,08:00:00,6755,317,1559,353,18,4946
71,1,21,1,2020-05-18,08:00:00,7271,335,1691,516,17,5316
72,1,21,1,2020-05-19,08:00:00,7712,349,1856,441,14,5581
73,1,21,1,2020-05-20,08:00:00,8169,371,2120,457,21,5757
74,1,21,1,2020-05-21,08:00:00,8645,389,2269,475,18,6069
75,1,21,1,2020-05-22,08:00:00,9161,407,2579,515,17,6261
76,1,21,1,2020-05-23,08:00:00,9808,424,2768,646,17,6706
77,1,21,1,2020-05-24,08:00:00,10381,441,2948,573,16,7085
78,1,21,1,2020-05-25,08:00:00,11050,457,3212,669,16,7479
79,1,21,1,2020-05-26,08:00:00,11586,474,3472,535,16,7740
80,1,21,1,2020-05-27,08:00:00,12046,501,3729,460,27,7922
81,1,21,1,2020-05-28,08:00:00,12528,531,3941,481,29,8169
82,1,21,1,2020-05-29,08:00:00,13100,554,4095,571,23,8568
83,1,21,1,2020-05-30,08:00:00,13690,587,5939,590,32,7289
84,1,21,1,2020-05-31,08:00:00,14336,615,6177,646,27,7675
85,1,21,1,2020-06-01,08:00:00,14884,640,6452,547,24,7928
86,1,21,1,2020-06-02,08:00:00,15402,661,6623,518,21,8259
87,1,21,1,2020-06-03,08:00:00,15906,690,6893,503,28,8470
88,1,21,1,2020-06-04,08:00:00,16469,724,7112,563,34,8787
89,1,21,1,2020-06-05,08:00:00,17114,758,7409,645,34,9108
90,1,21,1,2020-06-06,08:00:00,17650,797,7734,535,38,9289
91,1,21,1,2020-06-07,08:00:00,18252,831,8225,602,33,9373
92,1,21,1,2020-06-08,08:00:00,18914,856,8649,661,25,9592
93,1,21,1,2020-06-09,08:00:00,19476,887,9014,561,30,9764
94,1,21,1,2020-06-10,08:00:00,19973,920,9380,496,33,9869
95,1,21,1,2020-06-11,08:00:00,20689,962,9793,715,41,10138
96,1,21,1,2020-06-12,08:00:00,21482,1005,10137,793,42,10555
97,1,21,1,2020-06-13,08:00:00,22251,1040,10515,768,35,10918
98,1,21,1,2020-06-14,08:00:00,23004,1072,10856,753,31,11306
99,1,21,1,2020-06-15,08:00:00,23750,1106,11215,745,33,11666
100,1,21,1,2020-06-16,08:00:00,24363,1155,12330,612,49,11124
101,1,21,1,2020-06-17,08:00:00,24957,1550,12727,594,394,11012
102,1,21,1,2020-06-18,08:00:00,25685,1582,13016,727,31,11425
103,1,21,1,2020-06-19,08:00:00,26510,1610,13384,825,28,11861
104,1,21,1,2020-06-20,08:00:00,27352,1650,13810,841,39,12246
105,1,21,1,2020-06-21,08:00:00,28205,1675,14113,852,25,12774
106,1,21,1,2020-06-22,08:00:00,29056,1727,14463,851,52,13235
107,1,21,1,2020-06-23,08:00:00,29875,1759,14895,818,31,13597
108,1,21,1,2020-06-24,08:00:00,30582,1828,15318,707,69,13826
109,1,21,1,2020-06-25,08:00:00,31438,1886,16234,855,58,13721
110,1,21,1,2020-06-26,08:00:00,32503,1940,17039,1065,53,13938
111,1,21,1,2020-06-27,08:00:00,33608,1989,17559,1105,49,14485
112,1,21,1,2020-06-28,08:00:00,35009,2036,18533,1400,46,14875
113,1,21,1,2020-06-29,08:00:00,36217,2080,19046,1208,43,15536
114,1,21,1,2020-06-30,08:00:00,37374,2130,19571,1156,50,16128
115,1,21,1,2020-07-01,08:00:00,38447,2199,20000,1073,68,16718
116,1,21,1,2020-07-02,08:00:00,39665,2254,20493,1218,55,17400
117,1,21,1,2020-07-03,08:00:00,41057,2289,22257,1392,35,17000
118,1,21,1,2020-07-04,08:00:00,42457,2345,23031,1400,55,17583
119,1,21,1,2020-07-05,08:00:00,44014,2427,23778,1556,82,18328
120,1,21,1,2020-07-06,08:00:00,45456,2470,24582,1442,42,18932
121,1,21,1,2020-07-07,08:00:00,46637,2527,25357,1180,57,19293
122,1,21,1,2020-07-08,08:00:00,47766,2590,26082,1129,62,19648
123,1,21,1,2020-07-09,08:00:00,49219,2645,27102,1452,55,20038
124,1,21,1,2020-07-10,08:00:00,50731,2706,27996,1512,61,20608
125,1,21,1,2020-07-11,08:00:00,52461,2770,29177,1729,63,21107
126,1,21,1,2020-07-12,08:00:00,54252,2832,30136,1790,62,21889
127,1,21,1,2020-07-13,08:00:00,55973,2880,30871,1721,48,22838
128,1,21,1,2020-07-14,08:00:00,57403,2934,31791,1429,54,23305
129,1,21,1,2020-07-15,08:00:00,58886,2994,32781,1483,59,23751
130,1,21,1,2020-07-16,08:00:00,60640,3059,33574,1754,65,24661
131,1,21,1,2020-07-17,08:00:00,62541,3134,34790,1901,74,25288
132,1,21,1,2020-07-18,08:00:00,64369,3206,35278,1827,72,26571
133,1,21,1,2020-07-19,08:00:00,66206,3246,36445,1836,40,27209
134,1,21,1,2020-07-20,08:00:00,68300,3319,37305,2093,72,28387
135,1,21,1,2020-07-21,08:00:00,70112,3368,38506,1812,49,28959
136,1,21,1,2020-07-22,08:00:00,71946,3437,40087,1833,68,29158
137,1,21,1,2020-07-23,08:00:00,74273,3515,41309,2326,78,30202
138,1,21,1,2020-07-24,08:00:00,76450,3599,42735,2176,83,30886
139,1,21,1,2020-07-25,08:00:00,78565,3676,43992,2115,77,31683
140,1,21,1,2020-07-26,08:00:00,80600,3748,45582,2035,71,32072
141,1,21,1,2020-07-27,08:00:00,82675,3823,46912,2074,74,32759
142,1,21,1,2020-07-28,08:00:00,84419,3887,48827,1743,63,32537
143,1,21,1,2020-07-29,08:00:00,86116,3966,51100,1697,78,31899
144,1,21,1,2020-07-30,08:00:00,88143,4049,52746,2026,83,32215
145,1,21,1,2020-07-31,08:00:00,90595,4124,54695,2452,74,32659
146,1,21,1,2020-08-01,08:00:00,92865,4198,56354,2270,74,33212
147,1,21,1,2020-08-02,08:00:00,94978,4288,58714,2112,90,32894
148,1,21,1,2020-08-03,08:00:00,97070,4361,60897,2091,72,32745
149,1,21,1,2020-08-04,08:00:00,99043,4435,63146,1972,74,32411
150,1,21,1,2020-08-05,08:00:00,100750,4519,65858,1707,84,31340
151,1,21,1,2020-08-06,08:00:00,103018,4613,67214,2267,93,32178
152,1,21,1,2020-08-07,08:00:00,105551,4701,69602,2533,88,32254
153,1,21,1,2020-08-08,08:00:00,107857,4785,72001,2306,84,32095
154,1,21,1,2020-08-09,08:00:00,110678,4862,74439,2820,77,32418
155,1,21,1,2020-08-10,08:00:00,113373,4971,77376,2694,109,32090
156,1,21,1,2020-08-11,08:00:00,115392,5054,78852,2019,82,32569
157,1,21,1,2020-08-12,08:00:00,117832,5125,81055,2439,71,32749
158,1,21,1,2020-08-13,08:00:00,120628,5222,84005,2796,96,32520
159,1,21,1,2020-08-14,08:00:00,123227,5337,86010,2598,115,33023
160,1,21,1,2020-08-15,08:00:00,126001,5439,88317,2773,101,33410
161,1,21,1,2020-08-16,08:00:00,128645,5529,89822,2644,90,34478
162,1,21,1,2020-08-17,08:00:00,131090,5610,91767,2444,80,34915
163,1,21,1,2020-08-18,08:00:00,132958,5674,94273,1868,63,34227
164,1,21,1,2020-08-19,08:00:00,135404,5792,96331,2446,118,34522
165,1,21,1,2020-08-20,08:00:00,138301,5889,98313,2896,96,35360
166,1,21,1,2020-08-21,08:00:00,141523,5980,101007,3222,91,35817
167,1,21,1,2020-08-22,08:00:00,144639,6075,103592,3115,94,36273
168,1,21,1,2020-08-23,08:00:00,147827,6158,105625,3188,83,37363
169,1,21,1,2020-08-24,08:00:00,150124,6230,107419,2297,72,37808
170,1,21,1,2020-08-25,08:00:00,152547,6290,110547,2423,59,37057
171,1,21,1,2020-08-26,08:00:00,154841,6382,113253,2293,92,36572
172,1,21,1,2020-08-27,08:00:00,158116,6464,114933,3275,82,38102
173,1,21,1,2020-08-28,08:00:00,161384,6564,116943,3268,99,39283
174,1,21,1,2020-08-29,08:00:00,164558,6657,119497,3173,92,39831
175,1,21,1,2020-08-30,08:00:00,168141,6748,122036,3582,91,40802
176,1,21,1,2020-08-31,08:00:00,171751,6831,123728,3609,82,42655
177,1,21,1,2020-09-01,08:00:00,174359,6883,126182,2607,51,42767
178,1,21,1,2020-09-02,08:00:00,177827,6972,128598,3468,89,43750
179,1,21,1,2020-09-03,08:00:00,181662,7054,131669,3835,81,44450
180,1,21,1,2020-09-04,08:00:00,185645,7164,134746,3983,109,45270
181,1,21,1,2020-09-05,08:00:00,189873,7269,137670,4227,105,46491
182,1,21,1,2020-09-06,08:00:00,194449,7357,140046,4576,87,48622
183,1,21,1,2020-09-07,08:00:00,199586,7449,141768,5137,91,51965
184,1,21,1,2020-09-08,08:00:00,203201,7567,145050,3614,118,52204
185,1,21,1,2020-09-09,08:00:00,207629,7673,147962,4428,106,53637
186,1,21,1,2020-09-10,08:00:00,212816,7780,151021,5186,106,55682
187,1,21,1,2020-09-11,08:00:00,217974,7918,154157,5158,138,57595
188,1,21,1,2020-09-12,08:00:00,223449,8042,157305,5474,123,59825
189,1,21,1,2020-09-13,08:00:00,228308,8152,160272,4858,109,61630
190,1,21,1,2020-09-14,08:00:00,233267,8268,162813,4959,116,63957
191,1,21,1,2020-09-15,08:00:00,237022,8370,166287,3754,101,64158
192,1,21,1,2020-09-16,08:00:00,241528,8514,170560,4506,144,64278
193,1,21,1,2020-09-17,08:00:00,246668,8647,174423,5140,132,65451
194,1,21,1,2020-09-18,08:00:00,252084,8778,178717,5416,131,66469
195,1,21,1,2020-09-19,08:00:00,256849,8901,183575,4764,123,66280
196,1,21,1,2020-09-20,08:00:00,261363,9020,188745,4514,119,65530
197,1,21,1,2020-09-21,08:00:00,265901,9147,194555,4537,127,64158
198,1,21,1,2020-09-22,08:00:00,269363,9244,201596,3462,96,60503
199,1,21,1,2020-09-23,08:00:00,273409,9353,206041,4045,109,60017
200,1,21,1,2020-09-24,08:00:00,278035,9488,210326,4626,134,60254
201,1,21,1,2020-09-25,08:00:00,282251,9616,214107,4216,128,60588
202,1,21,1,2020-09-26,08:00:00,286166,9733,218417,3914,116,60101
203,1,21,1,2020-09-27,08:00:00,290658,9853,223619,4492,120,59297
204,1,21,1,2020-09-28,08:00:00,294631,9959,226603,3972,106,60202
205,1,21,1,2020-09-29,08:00:00,297253,10010,230988,2622,50,58400
206,1,21,1,2020-09-30,08:00:00,300548,10130,235214,3294,120,57373
207,1,21,1,2020-10-01,08:00:00,304578,10265,239430,4029,134,57081
208,1,21,1,2020-10-02,08:00:00,308202,10375,242973,3624,110,57076
209,1,21,1,2020-10-03,08:00:00,311632,10494,245898,3430,118,57488
210,1,21,1,2020-10-04,08:00:00,314789,10572,249602,3156,77,56880
211,1,21,1,2020-10-05,08:00:00,317549,10663,252912,2760,91,56258
212,1,21,1,2020-10-06,08:00:00,319803,10737,255768,2253,73,55598
213,1,21,1,2020-10-07,08:00:00,322500,10840,259539,2696,103,54442
214,1,21,1,2020-10-08,08:00:00,325707,10940,263217,3207,99,53894
215,1,21,1,2020-10-09,08:00:00,328654,11040,266643,2946,100,53336
216,1,21,1,2020-10-10,08:00:00,331323,11124,270454,2669,84,52128
217,1,21,1,2020-10-11,08:00:00,333835,11211,276271,2511,86,48755
218,1,21,1,2020-10-12,08:00:00,336209,11297,278572,2374,86,48760
219,1,21,1,2020-10-13,08:00:00,337769,11343,282017,1559,46,46839
220,1,21,1,2020-10-14,08:00:00,339644,11396,285395,1874,52,45294
221,1,21,1,2020-10-15,08:00:00,341965,11440,289689,2321,44,43287
222,1,21,1,2020-10-16,08:00:00,344215,11534,292706,2249,94,42445
223,1,21,1,2020-10-17,08:00:00,346733,11620,295760,2518,85,41842
224,1,21,1,2020-10-18,08:00:00,348990,11750,298893,2256,129,40865
225,1,21,1,2020-10-19,08:00:00,350983,11792,301358,1993,42,40360
