state_id,state_name,population,country_id
1,Andaman and Nicobar Islands,417036,1
2,Andhra Pradesh,53903393,1
3,Arunachal Pradesh,1570458,1
4,Assam,35607039,1
5,Bihar,124799926,1
6,Chandigarh,1215000,1
7,Chhattisgarh,29436231,1
8,Dadra and Nagar Haveli and Daman and Diu,615724,1
9,Delhi,20591874,1
10,Goa,1586250,1
11,Gujarat,70400153,1
12,Haryana,28204692,1
13,Himachal Pradesh,7451955,1
14,Jammu and Kashmir,13606320,1
15,Jharkhand,38593948,1
16,Karnataka,67562686,1
17,Kerala,35699443,1
18,Ladakh,290492,1
19,Lakshadweep,68000,1
20,Madhya Pradesh,85002417,1
21,Maharashtra,123144223,1
22,Manipur,3091545,1
23,Meghalaya,3366710,1
24,Mizoram,1239244,1
25,Nagaland,2249695,1
26,Odisha,46356334,1
27,Puducherry,1413542,1
28,Punjab,30141373,1
29,Rajasthan,81032689,1
30,Sikkim,690251,1
31,Tamil Nadu,77841267,1
32,Telangana,35003674,1
33,Tripura,4169794,1
34,Uttar Pradesh,237882725,1
35,Uttarakhand,11250858,1
36,West Bengal,99609303,1
