vaccine_id,state_id,date,total_doses,first_dose,second_dose,covaxin,covishield,sputnik_v,precaution_dose
1,1,2021-01-16,23,23,0,0,23,0,0
2,1,2021-01-17,23,23,0,0,23,0,0
3,1,2021-01-18,42,42,0,0,42,0,0
4,1,2021-01-19,89,89,0,0,89,0,0
5,1,2021-01-20,124,124,0,0,124,0,0
6,1,2021-01-21,239,239,0,0,239,0,0
7,1,2021-01-22,552,552,0,0,552,0,0
8,1,2021-01-23,920,920,0,0,920,0,0
9,1,2021-01-24,966,966,0,0,966,0,0
10,1,2021-01-25,1519,1519,0,0,1519,0,0
11,1,2021-01-26,1519,1519,0,0,1519,0,0
12,1,2021-01-27,1519,1519,0,0,1519,0,0
13,1,2021-01-28,1956,1956,0,0,1956,0,0
14,1,2021-01-29,2024,2024,0,0,2024,0,0
15,1,2021-01-30,2060,2060,0,0,2060,0,0
16,1,2021-01-31,2060,2060,0,0,2060,0,0
17,1,2021-02-01,2060,2060,0,0,2060,0,0
18,1,2021-02-02,2060,2060,0,0,2060,0,0
19,1,2021-02-03,2107,2107,0,0,2107,0,0
20,1,2021-02-04,2290,2290,0,0,2290,0,0
21,1,2021-02-05,2514,2514,0,0,2514,0,0
22,1,2021-02-06,2780,2780,0,0,2780,0,0
23,1,2021-02-07,2780,2780,0,0,2780,0,0
24,1,2021-02-08,2780,2780,0,0,2780,0,0
25,1,2021-02-09,2780,2780,0,0,2780,0,0
26,1,2021-02-10,2780,2780,0,0,2780,0,0
27,1,2021-02-11,2780,2780,0,0,2780,0,0
28,1,2021-02-12,2852,2852,0,0,2852,0,0
29,1,2021-02-13,3040,3040,0,0,3040,0,0
30,1,2021-02-14,3040,3040,0,0,3040,0,0
31,1,2021-02-15,3467,3363,104,0,3363,0,0
32,1,2021-02-16,3467,3363,104,0,3363,0,0
33,1,2021-02-17,3664,3560,104,0,3560,0,0
34,1,2021-02-18,3846,3505,341,0,3505,0,0
35,1,2021-02-19,4898,4246,652,0,4246,0,0
36,1,2021-02-20,5653,4707,946,0,4707,0,0
37,1,2021-02-21,5653,4707,946,0,4707,0,0
38,1,2021-02-22,6856,5358,1498,0,5358,0,0
39,1,2021-02-23,7058,5436,1622,0,5436,0,0
40,1,2021-02-24,7240,5518,1722,0,5518,0,0
41,1,2021-02-25,7763,5867,1896,0,5867,0,0
42,1,2021-02-26,7989,6029,1960,0,6029,0,0
43,1,2021-02-27,7989,6029,1960,0,6029,0,0
44,1,2021-02-28,7989,6029,1960,0,6029,0,0
45,1,2021-03-01,7989,6029,1960,0,6029,0,0
46,1,2021-03-02,8724,6638,2086,0,6638,0,0
47,1,2021-03-03,8837,6749,2088,0,6749,0,0
48,1,2021-03-04,9361,7266,2095,0,7266,0,0
49,1,2021-03-05,9897,7799,2098,0,7799,0,0
50,1,2021-03-06,10498,8288,2210,0,8288,0,0
51,1,2021-03-07,11101,8848,2253,0,8848,0,0
52,1,2021-03-08,12004,9629,2375,0,9629,0,0
53,1,2021-03-09,9932,7542,2390,0,9932,0,0
54,1,2021-03-10,10161,7735,2426,0,10161,0,0
55,1,2021-03-11,10704,8218,2486,0,10704,0,0
56,1,2021-03-12,11321,8735,2586,0,11321,0,0
57,1,2021-03-13,11638,8899,2739,0,11638,0,0
58,1,2021-03-14,11693,8926,2767,0,11693,0,0
59,1,2021-03-15,12045,9202,2843,0,12045,0,0
60,1,2021-03-16,14826,11950,2876,0,14826,0,0
61,1,2021-03-17,15489,12509,2980,0,15489,0,0
62,1,2021-03-18,16131,12948,3183,0,16131,0,0
63,1,2021-03-19,16612,13293,3319,0,16612,0,0
64,1,2021-03-20,17451,13852,3599,0,17451,0,0
65,1,2021-03-21,17478,13868,3610,0,17478,0,0
66,1,2021-03-22,18085,14327,3758,0,18085,0,0
67,1,2021-03-23,19121,15017,4104,0,19121,0,0
68,1,2021-03-24,19693,15247,4446,0,19693,0,0
69,1,2021-03-25,20318,15652,4666,0,20318,0,0
70,1,2021-03-26,20789,15933,4856,0,20789,0,0
71,1,2021-03-27,21356,16292,5064,0,21356,0,0
72,1,2021-03-28,21358,16293,5065,0,21358,0,0
73,1,2021-03-29,21357,16292,5065,0,21357,0,0
74,1,2021-03-30,21840,16701,5139,0,21840,0,0
75,1,2021-03-31,21938,16798,5140,0,21938,0,0
76,1,2021-04-01,22608,17435,5173,0,22608,0,0
77,1,2021-04-02,22738,17559,5179,0,22738,0,0
78,1,2021-04-03,23221,17998,5223,0,23221,0,0
79,1,2021-04-04,23901,18677,5224,0,23901,0,0
80,1,2021-04-05,24774,19499,5275,0,24774,0,0
81,1,2021-04-06,25766,20445,5321,0,25766,0,0
